iter	Passed	Remaining
831	52878	74233
832	52944	74172
833	53016	74120
834	53082	74060
835	53137	73986
836	53212	73937
837	53265	73860
838	53338	73809
839	53412	73760
840	53473	73693
841	53536	73628
842	53607	73574
843	53688	73535
844	53749	73467
845	53822	73417
846	53890	73360
847	53961	73306
848	54034	73255
849	54107	73204
850	54196	73174
851	54264	73116
852	54326	73050
853	54384	72979
854	54453	72922
855	54511	72851
856	54566	72777
857	54632	72715
858	54704	72663
859	54779	72615
860	54856	72567
861	54929	72517
862	54997	72458
863	55071	72409
864	55150	72365
865	55227	72318
866	55297	72263
867	55375	72217
868	55448	72166
869	55525	72119
870	55613	72087
871	55678	72025
872	55756	71978
873	55829	71926
874	55916	71892
875	55984	71834
876	56078	71808
877	56146	71749
878	56216	71693
879	56289	71641
880	56361	71586
881	56417	71513
882	56482	71450
883	56549	71390
884	56608	71319
885	56663	71245
886	56727	71180
887	56798	71126
888	56869	71070
889	56933	71007
890	57003	70949
891	57062	70880
892	57127	70817
893	57194	70757
894	57265	70702
895	57334	70644
896	57395	70577
897	57461	70515
898	57529	70456
899	57593	70391
900	57656	70326
901	57733	70279
902	57799	70217
903	57874	70166
904	57956	70124
905	58024	70064
906	58104	70020
907	58168	69956
908	58233	69892
909	58295	69826
910	58355	69757
911	58420	69695
912	58493	69641
913	58560	69580
914	58623	69515
915	58686	69449
916	58753	69389
917	58811	69317
918	58875	69253
919	58936	69186
920	59029	69155
921	59109	69111
922	59182	69056
923	59255	69003
924	59332	68954
925	59410	68906
926	59494	68864
927	59559	68801
928	59633	68749
929	59705	68692
930	59774	68634
931	59847	68580
932	59913	68518
933	59983	68460
934	60055	68405
935	60129	68352
936	60199	68294
937	60261	68228
938	60328	68167
939	60390	68099
940	60455	68036
941	60528	67982
942	60599	67925
943	60670	67868
944	60728	67797
945	60805	67746
946	60870	67684
947	60935	67620
948	60997	67553
949	61063	67491
950	61122	67421
951	61203	67375
952	61268	67311
953	61343	67258
954	61407	67195
955	61477	67136
956	61537	67067
957	61606	67008
958	61682	66956
959	61754	66900
960	61814	66832
961	61876	66764
962	61941	66701
963	62001	66632
964	62067	66569
965	62143	66517
966	62220	66467
967	62284	66402
968	62343	66331
969	62421	66282
970	62498	66231
971	62572	66177
972	62638	66114
973	62713	66062
974	62773	65993
975	62834	65924
976	62901	65863
977	62969	65802
978	63038	65743
979	63108	65684
980	63167	65613
981	63228	65546
982	63300	65490
983	63373	65433
984	63453	65386
985	63515	65319
986	63577	65252
987	63653	65199
988	63724	65142
989	63797	65086
990	63868	65028
991	63932	64963
992	64009	64912
993	64096	64870
994	64161	64806
995	64243	64759
996	64320	64707
997	64389	64647
998	64457	64586
999	64536	64536
1000	64599	64470
1001	64678	64420
1002	64745	64358
1003	64820	64303
1004	64891	64245
1005	64967	64192
1006	65054	64149
1007	65116	64083
1008	65182	64019
1009	65244	63952
1010	65312	63891
1011	65374	63823
1012	65442	63762
1013	65517	63708
1014	65587	63648
1015	65669	63601
1016	65752	63554
1017	65826	63498
1018	65893	63436
1019	65957	63371
1020	66032	63316
1021	66099	63253
1022	66168	63193
1023	66240	63135
1024	66317	63082
1025	66388	63023
1026	66462	62967
1027	66532	62908
1028	66607	62853
1029	66672	62788
1030	66739	62725
1031	66818	62675
1032	66886	62613
1033	66963	62559
1034	67038	62504
1035	67101	62437
1036	67168	62375
1037	67231	62309
1038	67292	62240
1039	67360	62179
1040	67421	62110
1041	67488	62048
1042	67563	61992
1043	67634	61933
1044	67699	61869
1045	67773	61812
1046	67838	61747
1047	67914	61693
1048	67979	61628
1049	68046	61566
1050	68130	61518
1051	68198	61456
1052	68280	61407
1053	68365	61360
1054	68433	61298
1055	68501	61236
1056	68562	61168
1057	68622	61098
1058	68682	61029
1059	68751	60968
1060	68811	60899
1061	68886	60843
1062	68947	60774
1063	69008	60707
1064	69072	60641
1065	69141	60580
1066	69199	60508
1067	69259	60439
1068	69327	60377
1069	69388	60309
1070	69459	60249
1071	69529	60189
1072	69612	60140
1073	69677	60075
1074	69745	60013
1075	69809	59947
1076	69882	59890
1077	69945	59823
1078	70013	59761
1079	70087	59704
1080	70157	59643
1081	70227	59583
1082	70322	59543
1083	70389	59480
1084	70452	59414
1085	70522	59353
1086	70593	59293
1087	70654	59224
1088	70714	59156
1089	70782	59093
1090	70852	59032
1091	70917	58968
1092	70994	58913
1093	71058	58847
1094	71125	58783
1095	71199	58726
1096	71283	58677
1097	71359	58621
1098	71427	58558
1099	71501	58501
1100	71584	58450
1101	71657	58392
1102	71743	58344
1103	71833	58299
1104	71902	58237
1105	71967	58173
1106	72038	58112
1107	72107	58050
1108	72176	57988
1109	72243	57924
1110	72313	57864
1111	72386	57804
1112	72476	57759
1113	72549	57701
1114	72629	57647
1115	72734	57614
1116	72829	57572
1117	72895	57508
1118	72970	57450
1119	73054	57399
1120	73124	57338
1121	73188	57272
1122	73256	57209
1123	73340	57158
1124	73420	57105
1125	73496	57048
1126	73565	56985
1127	73627	56917
1128	73696	56855
1129	73772	56797
1130	73847	56740
1131	73924	56684
1132	74002	56628
1133	74077	56570
1134	74144	56506
1135	74226	56453
1136	74285	56383
1137	74357	56323
1138	74425	56259
1139	74487	56192
1140	74561	56133
1141	74634	56074
1142	74705	56012
1143	74772	55948
1144	74837	55883
1145	74900	55815
1146	74964	55749
1147	75030	55684
1148	75103	55624
1149	75180	55568
1150	75240	55498
1151	75298	55427
1152	75373	55369
1153	75432	55299
1154	75513	55245
1155	75585	55185
1156	75647	55117
1157	75711	55050
1158	75776	54985
1159	75840	54918
1160	75901	54850
1161	75977	54792
1162	76049	54731
1163	76113	54665
1164	76181	54602
1165	76259	54545
1166	76320	54476
1167	76388	54413
1168	76464	54355
1169	76534	54294
1170	76610	54235
1171	76676	54170
1172	76741	54105
1173	76812	54043
1174	76874	53975
1175	76944	53913
1176	77022	53856
1177	77102	53801
1178	77183	53747
1179	77255	53686
1180	77331	53627
1181	77416	53576
1182	77496	53520
1183	77556	53451
1184	77621	53385
1185	77684	53318
1186	77759	53258
1187	77829	53196
1188	77885	53124
1189	77963	53067
1190	78022	52997
1191	78099	52939
1192	78170	52877
1193	78250	52822
1194	78312	52754
1195	78385	52694
1196	78456	52632
1197	78521	52566
1198	78595	52506
1199	78654	52436
1200	78724	52373
1201	78800	52315
1202	78862	52247
1203	78938	52188
1204	79010	52127
1205	79073	52059
1206	79147	52000
1207	79223	51941
1208	79289	51876
1209	79347	51805
1210	79411	51738
1211	79492	51683
1212	79564	51622
1213	79633	51558
1214	79704	51496
1215	79778	51436
1216	79848	51373
1217	79928	51317
1218	80001	51256
1219	80077	51197
1220	80158	51141
1221	80231	51080
1222	80306	51020
1223	80375	50957
1224	80442	50892
1225	80512	50829
1226	80589	50770
1227	80653	50704
1228	80725	50642
1229	80793	50578
1230	80879	50525
1231	80955	50465
1232	81018	50398
1233	81084	50332
1234	81154	50269
1235	81225	50207
1236	81286	50138
1237	81371	50084
1238	81438	50019
1239	81512	49959
1240	81577	49892
1241	81639	49824
1242	81706	49759
1243	81778	49698
1244	81847	49634
1245	81914	49569
1246	81982	49505
1247	82044	49436
1248	82123	49379
1249	82182	49309
1250	82248	49243
1251	82321	49182
1252	82396	49122
1253	82464	49057
1254	82531	48992
1255	82599	48928
1256	82668	48864
1257	82738	48801
1258	82801	48734
1259	82866	48667
1260	82932	48602
1261	83014	48545
1262	83100	48491
1263	83187	48438
1264	83266	48380
1265	83344	48321
1266	83416	48259
1267	83480	48192
1268	83544	48125
1269	83617	48063
1270	83685	47999
1271	83750	47932
1272	83822	47870
1273	83894	47808
1274	83960	47742
1275	84038	47683
1276	84106	47618
1277	84193	47564
1278	84269	47504
1279	84331	47436
1280	84397	47370
1281	84492	47321
1282	84681	47324
1283	84783	47278
1284	84845	47209
1285	84907	47141
1286	84970	47074
1287	85052	47016
1288	85126	46954
1289	85195	46890
1290	85263	46825
1291	85327	46758
1292	85395	46693
1293	85462	46627
1294	85527	46561
1295	85627	46513
1296	85722	46463
1297	85790	46398
1298	85854	46331
1299	85922	46266
1300	85989	46200
1301	86054	46133
1302	86123	46069
1303	86216	46017
1304	86289	45954
1305	86357	45890
1306	86433	45828
1307	86523	45775
1308	86588	45708
1309	86673	45652
1310	86748	45590
1311	86816	45525
1312	86894	45465
1313	86971	45405
1314	87043	45342
1315	87107	45274
1316	87171	45207
1317	87234	45139
1318	87296	45071
1319	87366	45006
1320	87452	44951
1321	87519	44885
1322	87587	44819
1323	87655	44754
1324	87719	44687
1325	87782	44619
1326	87861	44559
1327	87957	44508
1328	88053	44457
1329	88125	44393
1330	88192	44327
1331	88258	44261
1332	88325	44195
1333	88392	44129
1334	88460	44064
1335	88522	43996
1336	88587	43929
1337	88680	43876
1338	88757	43815
1339	88834	43754
1340	88913	43694
1341	89000	43638
1342	89091	43583
1343	89163	43520
1344	89227	43452
1345	89305	43392
1346	89385	43332
1347	89448	43264
1348	89518	43199
1349	89600	43141
1350	89666	43074
1351	89743	43013
1352	89802	42943
1353	89870	42877
1354	89983	42833
1355	90044	42764
1356	90102	42694
1357	90163	42625
1358	90224	42556
1359	90296	42492
1360	90368	42428
1361	90448	42368
1362	90528	42308
1363	90603	42246
1364	90693	42190
1365	90769	42128
1366	90848	42067
1367	90954	42019
1368	91047	41965
1369	91143	41912
1370	91223	41852
1371	91289	41785
1372	91376	41728
1373	91455	41667
1374	91528	41603
1375	91597	41538
1376	91670	41474
1377	91739	41409
1378	91821	41349
1379	91890	41283
1380	91962	41219
1381	92027	41152
1382	92095	41086
1383	92157	41018
1384	92223	40951
1385	92295	40886
1386	92364	40821
1387	92442	40760
1388	92528	40701
1389	92605	40639
1390	92679	40576
1391	92760	40515
1392	92833	40452
1393	92892	40382
1394	92959	40315
1395	93033	40252
1396	93102	40186
1397	93176	40123
1398	93265	40066
1399	93342	40003
1400	93413	39938
1401	93492	39877
1402	93556	39809
1403	93625	39744
1404	93702	39682
1405	93772	39616
1406	93837	39548
1407	93909	39484
1408	93988	39423
1409	94076	39365
1410	94151	39302
1411	94221	39236
1412	94291	39171
1413	94370	39109
1414	94432	39040
1415	94507	38977
1416	94576	38911
1417	94659	38851
1418	94735	38788
1419	94801	38721
1420	94877	38658
1421	94952	38595
1422	95014	38526
1423	95089	38463
1424	95170	38402
1425	95241	38336
1426	95317	38273
1427	95391	38209
1428	95456	38142
1429	95535	38080
1430	95606	38015
1431	95692	37956
1432	95767	37892
1433	95836	37826
1434	95911	37763
1435	95984	37698
1436	96052	37632
1437	96136	37572
1438	96214	37509
1439	96300	37450
1440	96373	37385
1441	96440	37318
1442	96512	37253
1443	96592	37192
1444	96673	37130
1445	96751	37068
1446	96819	37001
1447	96906	36942
1448	96981	36878
1449	97049	36811
1450	97129	36749
1451	97206	36686
1452	97279	36621
1453	97355	36558
1454	97429	36494
1455	97519	36435
1456	97587	36369
1457	97657	36303
1458	97748	36245
1459	97814	36177
1460	97874	36108
1461	97947	36043
1462	98011	35975
1463	98075	35907
1464	98130	35836
1465	98195	35768
1466	98255	35698
1467	98322	35631
1468	98380	35561
1469	98442	35492
1470	98496	35421
1471	98556	35351
1472	98617	35282
1473	98680	35214
1474	98747	35147
1475	98807	35078
1476	98865	35007
1477	98923	34937
1478	98994	34872
1479	99058	34804
1480	99127	34737
1481	99187	34668
1482	99264	34605
1483	99326	34536
1484	99385	34467
1485	99438	34395
1486	99503	34327
1487	99568	34260
1488	99638	34194
1489	99699	34125
1490	99772	34060
1491	99825	33988
1492	99887	33920
1493	99961	33855
1494	100027	33788
1495	100085	33718
1496	100153	33652
1497	100211	33582
1498	100285	33517
1499	100340	33446
1500	100405	33379
1501	100459	33308
1502	100509	33235
1503	100560	33163
1504	100635	33099
1505	100692	33029
1506	100766	32964
1507	100836	32899
1508	100905	32832
1509	100978	32767
1510	101037	32698
1511	101103	32631
1512	101160	32561
1513	101222	32492
1514	101288	32425
1515	101366	32362
1516	101458	32303
1517	101527	32237
1518	101595	32170
1519	101669	32106
1520	101757	32045
1521	101814	31975
1522	101874	31906
1523	101935	31838
1524	101994	31768
1525	102049	31698
1526	102109	31629
1527	102170	31560
1528	102233	31492
1529	102306	31427
1530	102369	31359
1531	102427	31289
1532	102487	31220
1533	102544	31151
1534	102605	31082
1535	102659	31011
1536	102723	30944
1537	102792	30877
1538	102855	30809
1539	102922	30742
1540	102991	30676
1541	103070	30613
1542	103136	30546
1543	103209	30481
1544	103273	30413
1545	103336	30345
1546	103399	30277
1547	103461	30209
1548	103514	30138
1549	103573	30069
1550	103645	30004
1551	103717	29939
1552	103791	29874
1553	103865	29809
1554	103931	29742
1555	103997	29675
1556	104071	29610
1557	104129	29541
1558	104195	29474
1559	104257	29406
1560	104313	29336
1561	104385	29270
1562	104458	29205
1563	104516	29136
1564	104586	29070
1565	104640	28999
1566	104700	28931
1567	104763	28863
